snapshot_date,tag,published_at,asset,download_count,size
2026-05-17,"v1.8.0","2026-05-12T19:57:39Z","Klaudex_1.8.0_aarch64.dmg",1,20577046
2026-05-17,"v1.8.0","2026-05-12T19:57:39Z","Klaudex_1.8.0_amd64.AppImage",0,95939064
2026-05-17,"v1.8.0","2026-05-12T19:57:39Z","Klaudex_1.8.0_amd64.AppImage.sig",0,420
2026-05-17,"v1.8.0","2026-05-12T19:57:39Z","Klaudex_1.8.0_amd64.AppImage.tar.gz",0,95240503
2026-05-17,"v1.8.0","2026-05-12T19:57:39Z","Klaudex_1.8.0_amd64.AppImage.tar.gz.sig",0,428
2026-05-17,"v1.8.0","2026-05-12T19:57:39Z","Klaudex_1.8.0_amd64.deb",0,17027736
2026-05-17,"v1.8.0","2026-05-12T19:57:39Z","Klaudex_1.8.0_amd64.deb.sig",0,412
2026-05-17,"v1.8.0","2026-05-12T19:57:39Z","Klaudex_1.8.0_x64-setup.exe",0,10372414
2026-05-17,"v1.8.0","2026-05-12T19:57:39Z","Klaudex_1.8.0_x64-setup.exe.sig",0,416
2026-05-17,"v1.8.0","2026-05-12T19:57:39Z","Klaudex_1.8.0_x64-setup.nsis.zip",0,10372566
2026-05-17,"v1.8.0","2026-05-12T19:57:39Z","Klaudex_1.8.0_x64-setup.nsis.zip.sig",0,424
2026-05-17,"v1.8.0","2026-05-12T19:57:39Z","Klaudex_aarch64.app.tar.gz",0,17418856
2026-05-17,"v1.8.0","2026-05-12T19:57:39Z","Klaudex_aarch64.app.tar.gz.sig",0,404
2026-05-17,"v1.8.0","2026-05-12T19:57:39Z","latest.json",0,4821
2026-05-17,"v1.13.0","2026-05-14T18:33:30Z","Klaudex_1.13.0_aarch64.dmg",1,20728591
2026-05-17,"v1.13.0","2026-05-14T18:33:30Z","Klaudex_1.13.0_amd64.AppImage",0,96094712
2026-05-17,"v1.13.0","2026-05-14T18:33:30Z","Klaudex_1.13.0_amd64.AppImage.sig",0,420
2026-05-17,"v1.13.0","2026-05-14T18:33:30Z","Klaudex_1.13.0_amd64.AppImage.tar.gz",0,95397063
2026-05-17,"v1.13.0","2026-05-14T18:33:30Z","Klaudex_1.13.0_amd64.AppImage.tar.gz.sig",0,428
2026-05-17,"v1.13.0","2026-05-14T18:33:30Z","Klaudex_1.13.0_amd64.deb",0,17176242
2026-05-17,"v1.13.0","2026-05-14T18:33:30Z","Klaudex_1.13.0_amd64.deb.sig",0,412
2026-05-17,"v1.13.0","2026-05-14T18:33:30Z","Klaudex_1.13.0_x64-setup.exe",0,10521721
2026-05-17,"v1.13.0","2026-05-14T18:33:30Z","Klaudex_1.13.0_x64-setup.exe.sig",0,420
2026-05-17,"v1.13.0","2026-05-14T18:33:30Z","Klaudex_1.13.0_x64-setup.nsis.zip",0,10521875
2026-05-17,"v1.13.0","2026-05-14T18:33:30Z","Klaudex_1.13.0_x64-setup.nsis.zip.sig",0,424
2026-05-17,"v1.13.0","2026-05-14T18:33:30Z","Klaudex_aarch64.app.tar.gz",1,17571040
2026-05-17,"v1.13.0","2026-05-14T18:33:30Z","Klaudex_aarch64.app.tar.gz.sig",0,404
2026-05-17,"v1.13.0","2026-05-14T18:33:30Z","latest.json",43,5483
2026-05-17,"v1.12.0","2026-05-13T11:53:25Z","Klaudex_1.12.0_aarch64.dmg",1,20725720
2026-05-17,"v1.12.0","2026-05-13T11:53:25Z","Klaudex_1.12.0_amd64.AppImage",0,96078328
2026-05-17,"v1.12.0","2026-05-13T11:53:25Z","Klaudex_1.12.0_amd64.AppImage.sig",0,420
2026-05-17,"v1.12.0","2026-05-13T11:53:25Z","Klaudex_1.12.0_amd64.AppImage.tar.gz",0,95379655
2026-05-17,"v1.12.0","2026-05-13T11:53:25Z","Klaudex_1.12.0_amd64.AppImage.tar.gz.sig",0,428
2026-05-17,"v1.12.0","2026-05-13T11:53:25Z","Klaudex_1.12.0_amd64.deb",0,17166172
2026-05-17,"v1.12.0","2026-05-13T11:53:25Z","Klaudex_1.12.0_amd64.deb.sig",0,412
2026-05-17,"v1.12.0","2026-05-13T11:53:25Z","Klaudex_1.12.0_x64-setup.exe",0,10514455
2026-05-17,"v1.12.0","2026-05-13T11:53:25Z","Klaudex_1.12.0_x64-setup.exe.sig",0,420
2026-05-17,"v1.12.0","2026-05-13T11:53:25Z","Klaudex_1.12.0_x64-setup.nsis.zip",0,10514609
2026-05-17,"v1.12.0","2026-05-13T11:53:25Z","Klaudex_1.12.0_x64-setup.nsis.zip.sig",0,424
2026-05-17,"v1.12.0","2026-05-13T11:53:25Z","Klaudex_aarch64.app.tar.gz",2,17559714
2026-05-17,"v1.12.0","2026-05-13T11:53:25Z","Klaudex_aarch64.app.tar.gz.sig",0,404
2026-05-17,"v1.12.0","2026-05-13T11:53:25Z","latest.json",36,5004
2026-05-17,"v1.11.0","2026-05-13T09:24:45Z","Klaudex_1.11.0_aarch64.dmg",1,20665460
2026-05-17,"v1.11.0","2026-05-13T09:24:45Z","Klaudex_1.11.0_amd64.AppImage",0,96020984
2026-05-17,"v1.11.0","2026-05-13T09:24:45Z","Klaudex_1.11.0_amd64.AppImage.sig",0,420
2026-05-17,"v1.11.0","2026-05-13T09:24:45Z","Klaudex_1.11.0_amd64.AppImage.tar.gz",0,95321392
2026-05-17,"v1.11.0","2026-05-13T09:24:45Z","Klaudex_1.11.0_amd64.AppImage.tar.gz.sig",0,428
